date,ecoli_value,rain_day0_mm,rain_prior24h_mm,rain_prior48h_mm,rain_prior72h_mm
8/11/20 0:00,670,11.5,6.5,11,14
16/11/20 0:00,31,7,0,0,0
22/11/20 0:00,2760,9.5,2,2,2
30/11/20 0:00,199,14.5,45.5,46.5,53
6/12/20 0:00,63,0,6.5,6.5,26.5
14/12/20 0:00,98,0,0,0,2.5
20/12/20 0:00,52,0,0,0,0
28/12/20 0:00,52,0,0,0,0.5
3/1/21 0:00,211,3.5,0,0,0
11/1/21 0:00,109,0.5,0.5,0.5,14.5
17/1/21 0:00,211,9.5,0,0,0
26/1/21 0:00,41,1.5,0,14,19
31/1/21 0:00,63,0,0,0,0
9/2/21 0:00,52,0,0,0,0
14/2/21 0:00,85,0,0,0,0
22/2/21 0:00,52,0,0,0,0
1/3/21 0:00,148,0,0,0,0
8/3/21 0:00,404,0,27,32.5,32.5
14/3/21 0:00,86,0,0,0,22.5
28/3/21 0:00,74,1,0,0,0
5/4/21 0:00,759,8.5,2.5,2.5,4
11/4/21 0:00,379,3,7.5,7.5,7.5
19/4/21 0:00,75,0,0,1.5,6.5
25/4/21 0:00,109,2.5,0.5,0.5,0.5
2/11/21 0:00,20,0,3.5,14,27.5
9/11/21 0:00,31,0,0,0,0
15/11/21 0:00,798,10.5,24.5,69,76.5
23/11/21 0:00,86,0,15,56.5,56.5
30/11/21 0:00,1333,39.5,12.5,21.5,21.5
7/12/21 0:00,14100,127,24.5,29,34
14/12/21 0:00,2187,43,8,51,57
21/12/21 0:00,121,13,0,0,0
28/12/21 0:00,20,22,0,0,0
4/1/22 0:00,63,0,0,0,0
11/1/22 0:00,110,4,0,0,0
18/1/22 0:00,20,0,0,0,0
25/1/22 0:00,97,2,0,0,0
1/2/22 0:00,74,0,0,0,0
8/2/22 0:00,243,0,0.5,26,119
15/2/22 0:00,63,0,0,0.5,34.5
22/2/22 0:00,98,0,0,69.5,69.5
1/3/22 0:00,97,0,0,0,0
8/3/22 0:00,41,0,0,0,0
15/3/22 0:00,135,0,0,0.5,1.5
22/3/22 0:00,110,4.5,9,9,9
29/3/22 0:00,31,0,0,0,0
5/4/22 0:00,119,3,0,0,0
12/4/22 0:00,226,0,0,0,0
20/4/22 0:00,160,0,5.5,5.5,5.5
27/4/22 0:00,20,0.5,0,0.5,0.5
1/11/22 0:00,20,0,5.5,22.5,24
14/11/22 0:00,31,0,6.5,11.5,14
21/11/22 0:00,602,21,26.5,53,56
28/11/22 0:00,148,1.5,2,3,4.5
2/12/22 0:00,20,5.5,4.5,11.5,11.5
5/12/22 0:00,30,3,1,1.5,7
12/12/22 0:00,86,0.5,0,15,24
19/12/22 0:00,295,2.5,13,30,35
2/1/23 0:00,52,0,0,0,0
9/1/23 0:00,10,0,1.5,3.5,21.5
16/1/23 0:00,20,0,0,0,0
24/1/23 0:00,20,0,2,2,7.5
30/1/23 0:00,908,0,1,13.5,30
7/2/23 0:00,202,3,5.5,24,24.5
13/2/23 0:00,52,8,1,1,1
20/2/23 0:00,41,1,0,0,0
27/2/23 0:00,75,0,0,1,1
6/3/23 0:00,158,0,1,11.5,12.5
13/3/23 0:00,414,11.5,0,0,4.5
20/3/23 0:00,160,0.5,0,8,31.5
27/3/23 0:00,74,1.5,11.5,26.5,26.5
4/4/23 0:00,86,0,5,7.5,9.5
11/4/23 0:00,20,5,0.5,0.5,0.5
17/4/23 0:00,52,0,0,0,0
24/4/23 0:00,121,0,1.5,40,44
6/11/23 0:00,62,0,0,2.5,10
13/11/23 0:00,52,1,0,0,0
20/11/23 0:00,420,14,21,33.5,49.5
27/11/23 0:00,20,0,0,0,16
4/12/23 0:00,201,7.5,14.5,14.5,14.5
11/12/23 0:00,160,0,49.5,49.5,49.5
18/12/23 0:00,74,5,3,35.5,36
27/12/23 0:00,98,2,0,19,38
3/1/24 0:00,122,0,0,0,12
8/1/24 0:00,41,0,0,4,8.5
15/1/24 0:00,134,3.5,0.5,0.5,1
23/1/24 0:00,437,9,0,3.5,10.5
29/1/24 0:00,216,0,4.5,26,26
12/2/24 0:00,51,0,0.5,0.5,0.5
19/2/24 0:00,98,0.5,0,4.5,4.5
26/2/24 0:00,86,0,21.5,22,22
4/3/24 0:00,109,32.5,12,26.5,26.5
11/3/24 0:00,223,0,0,0,4
18/3/24 0:00,146,3.5,1,1,1
25/3/24 0:00,146,0,0,0,0
2/4/24 0:00,199,0,0,0,0
8/4/24 0:00,148,0,0,0,0
15/4/24 0:00,160,4,0.5,11,53.5
22/4/24 0:00,134,0,0.5,0.5,0.5
4/11/24 0:00,52,0,0,11,14.5
11/11/24 0:00,160,0,55,55.5,57
18/11/24 0:00,52,0,0,9,28.5
25/11/24 0:00,110,8.5,0.5,6.5,6.5
9/12/24 0:00,3255,54,22,22,22
16/12/24 0:00,41,15.5,0,0.5,7.5
23/12/24 0:00,161,5,2,11,14
30/12/24 0:00,86,9,0,0,1.5
6/1/25 0:00,75,0,11,18.5,34
13/1/25 0:00,10,0,0,0,0
21/1/25 0:00,10,0,0,0,0
27/1/25 0:00,504,5,6.5,6.5,11.5
3/2/25 0:00,63,0,0,0,14.5
10/2/25 0:00,41,0,0,0,0
17/2/25 0:00,63,0,0,0,0
24/2/25 0:00,63,0,0,0,2.5
4/3/25 0:00,75,19.5,8.5,8.5,8.5
10/3/25 0:00,30,0,0,2,2
17/3/25 0:00,203,9,5.5,12.5,12.5
24/3/25 0:00,98,3.5,1,1,1
31/3/25 0:00,121,0,0,0,0.5
7/4/25 0:00,75,5.5,5.5,17.5,59
14/4/25 0:00,52,0,0,0,0
22/4/25 0:00,97,0,14.5,14.5,14.5
28/4/25 0:00,31,0,0,0,0
4/11/25 0:00,30,0,0,0,0
11/11/25 0:00,355,1.5,14.5,14.5,14.5
18/11/25 0:00,20,1,0,0,4.5
25/11/25 0:00,63,3.5,0.5,1,1
2/12/25 0:00,63,5,1,16.5,16.5
9/12/25 0:00,52,0,0,7,8.5
16/12/25 0:00,85,22,0,0,0
22/12/25 0:00,52,0.5,0,1,14.5
7/1/26 0:00,10,0,0,0,0
13/1/26 0:00,52,0,4,4,4.5
21/1/26 0:00,20,1,0,0,0
27/1/26 0:00,246,18,28,48,86
3/2/26 0:00,109,12.5,8,8,8
10/2/26 0:00,73,0,0,0,1
17/2/26 0:00,98,0.5,11.5,25,30.5
24/2/26 0:00,148,0,0,0,0
3/3/26 0:00,199,1,5.5,7,7
11/3/26 0:00,86,0,0,9,13.5
17/3/26 0:00,31,0,0,0,3.5
24/3/26 0:00,41,0,0,0,0
31/3/26 0:00,243,0.5,13.5,13.5,13.5
8/4/26 0:00,63,5.5,0,0,0
14/4/26 0:00,677,5.5,12.5,25,25
21/4/26 0:00,216,5.5,30.5,32,34
29/4/26 0:00,98,0.5,0,0,0
